Date:,Mon 26 Sep 2022 07:49:17 PM EDT,,,,,,,,,,,
Tool:,Eeschema 6.0.7-f9a2dced07~116~ubuntu20.04.1,,,,,,,,,,,
Component Count:,60,,,,,,,,,,,
,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,
,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,MANUFACTURER,STANDARD,Spice_Lib_File,Spice_Model,Spice_Netlist_Enabled,Spice_Primitive
9,2,"D4, D5",LED,Device:LED,LED_THT:LED_D5.0mm_Clear,~,,,/media/nick/3TB_HDD/College Documents/Personal/Coil Labs Files/kicad_spice_library/Models/Diode/led.lib,LED_GENERAL,Y,D
10,1,D6,IF E97,:LED_1,IF-E91A:IF-E91A,~,,,,,,
11,1,F1,"500mA, 250V Fuse",Device:Fuse,0PTF0078P:0PTF0078P,~,,,,,,
12,1,J1,120/240VAC,Connector_Generic:Conn_01x02,Connector_Wire:SolderWire-1sqmm_1x02_P5.4mm_D1.4mm_OD2.7mm,~,,,,,,
13,1,J2,External Signal,Connector_Generic:Conn_01x02,TB007-508-02GR:CUI_TB007-508-02GR,~,,,,,,
14,2,"J5, J6",Jumper,Connector_Generic:Conn_02x01,Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical,~,,,,,,
15,1,Q1,2N3906,Transistor_BJT:2N3906,Package_TO_SOT_THT:TO-92_Inline,https://www.onsemi.com/pub/Collateral/2N3906-D.PDF,,,/media/nick/3TB_HDD/College Documents/Personal/Coil Labs Files/kicad_spice_library/Models/Transistor/BJT/BJT.lib,2N3906,Y,Q
16,2,"Q2, Q3",2N3904,Transistor_BJT:2N3904,Package_TO_SOT_THT:TO-92_Inline,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,,,/media/nick/3TB_HDD/College Documents/Personal/Coil Labs Files/kicad_spice_library/Models/Transistor/BJT/BJT.lib,2N3904,Y,Q
17,1,R1,100k,Device:R_US,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~,,,,100k,Y,R
18,10,"R2, R4, R6, R7, R9, R10, R11, R13, R14, R18",10k,Device:R_US,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~,,,,10k,Y,R
